ICD_Start,ICD_End,Cause,Level
A66,A67.9,Non-communicable diseases,1
B18,B18.9,Non-communicable diseases,1
B33.2,B33.2,Non-communicable diseases,1
B86,B86,Non-communicable diseases,1
C00,C13.9,Non-communicable diseases,1
C15,C22.8,Non-communicable diseases,1
C23,C25.9,Non-communicable diseases,1
C30,C34.9,Non-communicable diseases,1
C37,C38.8,Non-communicable diseases,1
C40,C41.9,Non-communicable diseases,1
C43,C45.9,Non-communicable diseases,1
C47,C54.9,Non-communicable diseases,1
C56,C57.8,Non-communicable diseases,1
C60,C63.8,Non-communicable diseases,1
C64,C67.9,Non-communicable diseases,1
C68.0,C68.8,Non-communicable diseases,1
C69.0,C69.8,Non-communicable diseases,1
C70,C73.9,Non-communicable diseases,1
C75,C75.8,Non-communicable diseases,1
C81,C86.6,Non-communicable diseases,1
C88,C91.0,Non-communicable diseases,1
C91.2,C91.3,Non-communicable diseases,1
C91.6,C91.6,Non-communicable diseases,1
C92,C92.6,Non-communicable diseases,1
C93,C93.1,Non-communicable diseases,1
C93.3,C93.3,Non-communicable diseases,1
C93.8,C93.8,Non-communicable diseases,1
C94,C96.9,Non-communicable diseases,1
D00.1,D00.2,Non-communicable diseases,1
D01.0,D01.3,Non-communicable diseases,1
D02.0,D02.3,Non-communicable diseases,1
D03,D06.9,Non-communicable diseases,1
D07.0,D07.2,Non-communicable diseases,1
D07.4,D07.5,Non-communicable diseases,1
D09.0,D09.0,Non-communicable diseases,1
D09.2,D09.3,Non-communicable diseases,1
D09.8,D09.8,Non-communicable diseases,1
D10.0,D10.7,Non-communicable diseases,1
D11,D12.9,Non-communicable diseases,1
D13.0,D13.7,Non-communicable diseases,1
D14.0,D14.3,Non-communicable diseases,1
D15,D16.9,Non-communicable diseases,1
D22,D27.9,Non-communicable diseases,1
D28.0,D28.7,Non-communicable diseases,1
D29.0,D29.8,Non-communicable diseases,1
D30.0,D30.8,Non-communicable diseases,1
D31,D36,Non-communicable diseases,1
D36.1,D36.7,Non-communicable diseases,1
D37.1,D37.5,Non-communicable diseases,1
D38.0,D38.5,Non-communicable diseases,1
D39.1,D39.2,Non-communicable diseases,1
D39.8,D39.8,Non-communicable diseases,1
D40.0,D40.8,Non-communicable diseases,1
D41.0,D41.8,Non-communicable diseases,1
D42,D43.9,Non-communicable diseases,1
D44.0,D44.8,Non-communicable diseases,1
D45,D47.9,Non-communicable diseases,1
D48.0,D48.6,Non-communicable diseases,1
D49.2,D49.4,Non-communicable diseases,1
D49.6,D49.6,Non-communicable diseases,1
D52.1,D52.1,Non-communicable diseases,1
D55,D58.9,Non-communicable diseases,1
D59.0,D59.3,Non-communicable diseases,1
D59.5,D59.6,Non-communicable diseases,1
D60,D61.9,Non-communicable diseases,1
D63.1,D63.1,Non-communicable diseases,1
D64.0,D64.0,Non-communicable diseases,1
D66,D67,Non-communicable diseases,1
D68.0,D69.8,Non-communicable diseases,1
D70,D70.2,Non-communicable diseases,1
D70.4,D75.8,Non-communicable diseases,1
D76,D78.8,Non-communicable diseases,1
D86,D86.9,Non-communicable diseases,1
D89,D89.2,Non-communicable diseases,1
E03,E07.1,Non-communicable diseases,1
E09,E11.9,Non-communicable diseases,1
E15.0,E15.0,Non-communicable diseases,1
E16.0,E16.9,Non-communicable diseases,1
E20,E34,Non-communicable diseases,1
E34.1,E34.8,Non-communicable diseases,1
E36,E36.8,Non-communicable diseases,1
E65,E68,Non-communicable diseases,1
E70,E85.2,Non-communicable diseases,1
E88,E89.9,Non-communicable diseases,1
F00,F02.0,Non-communicable diseases,1
F02.2,F02.3,Non-communicable diseases,1
F02.8,F03.9,Non-communicable diseases,1
F10,F16.9,Non-communicable diseases,1
F18,F18.9,Non-communicable diseases,1
F24,F24,Non-communicable diseases,1
F50.0,F50.5,Non-communicable diseases,1
G10,G13.8,Non-communicable diseases,1
G20,G20.9,Non-communicable diseases,1
G21.0,G21.1,Non-communicable diseases,1
G23,G26.0,Non-communicable diseases,1
G30,G31.9,Non-communicable diseases,1
G35,G37.9,Non-communicable diseases,1
G40,G41.9,Non-communicable diseases,1
G45,G46.8,Non-communicable diseases,1
G47.3,G47.3,Non-communicable diseases,1
G61,G61.9,Non-communicable diseases,1
G62.1,G62.1,Non-communicable diseases,1
G70,G73.7,Non-communicable diseases,1
G90,G90.9,Non-communicable diseases,1
G93.7,G93.7,Non-communicable diseases,1
G95,G95.9,Non-communicable diseases,1
G97,G97.9,Non-communicable diseases,1
H05.0,H05.1,Non-communicable diseases,1
I01,I01.9,Non-communicable diseases,1
I02.0,I02.0,Non-communicable diseases,1
I05,I09.9,Non-communicable diseases,1
I11,I13.9,Non-communicable diseases,1
I20,I25.9,Non-communicable diseases,1
I27.0,I27.2,Non-communicable diseases,1
I28,I28.9,Non-communicable diseases,1
I30,I31.1,Non-communicable diseases,1
I31.8,I37.8,Non-communicable diseases,1
I38,I41.9,Non-communicable diseases,1
I42.1,I42.8,Non-communicable diseases,1
I43,I43.9,Non-communicable diseases,1
I47,I48.9,Non-communicable diseases,1
I51.0,I51.4,Non-communicable diseases,1
I60,I63.9,Non-communicable diseases,1
I65,I66.9,Non-communicable diseases,1
I67.0,I67.3,Non-communicable diseases,1
I67.5,I67.7,Non-communicable diseases,1
I68.0,I68.2,Non-communicable diseases,1
I69.0,I69.3,Non-communicable diseases,1
I70.2,I70.8,Non-communicable diseases,1
I71,I73.9,Non-communicable diseases,1
I77,I89.9,Non-communicable diseases,1
I95.2,I95.3,Non-communicable diseases,1
I97,I98,Non-communicable diseases,1
I98.2,I98.2,Non-communicable diseases,1
I98.9,I98.9,Non-communicable diseases,1
J30,J35.9,Non-communicable diseases,1
J37,J39.9,Non-communicable diseases,1
J41,J46.9,Non-communicable diseases,1
J60,J63.8,Non-communicable diseases,1
J65,J68.9,Non-communicable diseases,1
J70,J70.9,Non-communicable diseases,1
J82,J82,Non-communicable diseases,1
J84,J84.9,Non-communicable diseases,1
J91,J91,Non-communicable diseases,1
J91.8,J92.9,Non-communicable diseases,1
J95,J95.9,Non-communicable diseases,1
K20,K20.9,Non-communicable diseases,1
K22,K22.6,Non-communicable diseases,1
K22.8,K29.9,Non-communicable diseases,1
K31,K31.8,Non-communicable diseases,1
K35,K38.9,Non-communicable diseases,1
K40,K46.9,Non-communicable diseases,1
K50,K52.0,Non-communicable diseases,1
K52.2,K52.9,Non-communicable diseases,1
K55,K62.9,Non-communicable diseases,1
K63.5,K63.5,Non-communicable diseases,1
K64,K64.9,Non-communicable diseases,1
K66.8,K66.8,Non-communicable diseases,1
K67,K67,Non-communicable diseases,1
K68,K68,Non-communicable diseases,1
K70,K70.3,Non-communicable diseases,1
K71.7,K71.7,Non-communicable diseases,1
K73,K75,Non-communicable diseases,1
K75.1,K75.2,Non-communicable diseases,1
K75.4,K76.2,Non-communicable diseases,1
K76.4,K77,Non-communicable diseases,1
K77.8,K77.8,Non-communicable diseases,1
K80,K83.9,Non-communicable diseases,1
K85,K86.9,Non-communicable diseases,1
K90,K91.9,Non-communicable diseases,1
K92.8,K92.8,Non-communicable diseases,1
K93.8,K95.8,Non-communicable diseases,1
L00,L05.9,Non-communicable diseases,1
L08,L08.9,Non-communicable diseases,1
L10,L14.0,Non-communicable diseases,1
L51,L51.9,Non-communicable diseases,1
L88,L89.9,Non-communicable diseases,1
L93,L93.2,Non-communicable diseases,1
L97,L98.4,Non-communicable diseases,1
M00,M03.0,Non-communicable diseases,1
M03.2,M03.6,Non-communicable diseases,1
M05,M09.8,Non-communicable diseases,1
M30,M36.8,Non-communicable diseases,1
M40,M43.1,Non-communicable diseases,1
M65,M65.0,Non-communicable diseases,1
M71.0,M71.1,Non-communicable diseases,1
M72.5,M72.6,Non-communicable diseases,1
M80,M82.8,Non-communicable diseases,1
M86.3,M86.4,Non-communicable diseases,1
M87,M87.1,Non-communicable diseases,1
M88,M89.0,Non-communicable diseases,1
M89.5,M89.5,Non-communicable diseases,1
M89.7,M89.9,Non-communicable diseases,1
N00,N08.8,Non-communicable diseases,1
N10,N12.9,Non-communicable diseases,1
N13.6,N13.6,Non-communicable diseases,1
N14,N16.8,Non-communicable diseases,1
N18,N18.9,Non-communicable diseases,1
N20,N23.0,Non-communicable diseases,1
N25,N28.1,Non-communicable diseases,1
N29,N30.3,Non-communicable diseases,1
N30.8,N32.0,Non-communicable diseases,1
N32.3,N32.4,Non-communicable diseases,1
N34,N34.3,Non-communicable diseases,1
N36,N36.9,Non-communicable diseases,1
N39,N39.2,Non-communicable diseases,1
N41,N41.9,Non-communicable diseases,1
N44,N44.0,Non-communicable diseases,1
N45,N45.9,Non-communicable diseases,1
N49,N49.9,Non-communicable diseases,1
N60,N60.9,Non-communicable diseases,1
N65,N65.1,Non-communicable diseases,1
N72,N72.0,Non-communicable diseases,1
N75,N77.8,Non-communicable diseases,1
N80,N81.9,Non-communicable diseases,1
N83,N83.9,Non-communicable diseases,1
N84.0,N84.1,Non-communicable diseases,1
N87,N87.9,Non-communicable diseases,1
N99,N99.9,Non-communicable diseases,1
P04.3,P04.4,Non-communicable diseases,1
P70.2,P70.2,Non-communicable diseases,1
P96.0,P96.2,Non-communicable diseases,1
P96.5,P96.5,Non-communicable diseases,1
Q00,Q07.9,Non-communicable diseases,1
Q10.4,Q18.9,Non-communicable diseases,1
Q20,Q28.9,Non-communicable diseases,1
Q30,Q36,Non-communicable diseases,1
Q37,Q45.9,Non-communicable diseases,1
Q50,Q87.8,Non-communicable diseases,1
Q89,Q89.8,Non-communicable diseases,1
Q90,Q93.9,Non-communicable diseases,1
Q95,Q99.8,Non-communicable diseases,1
R50.2,R50.2,Non-communicable diseases,1
R78.0,R78.5,Non-communicable diseases,1
R95,R95.9,Non-communicable diseases,1
X45,X45.9,Non-communicable diseases,1
X65,X65.9,Non-communicable diseases,1
Y15,Y15.9,Non-communicable diseases,1
C00,C13.9,Neoplasms,2
C15,C22.8,Neoplasms,2
C23,C25.9,Neoplasms,2
C30,C34.9,Neoplasms,2
C37,C38.8,Neoplasms,2
C40,C41.9,Neoplasms,2
C43,C45.9,Neoplasms,2
C47,C54.9,Neoplasms,2
C56,C57.8,Neoplasms,2
C60,C63.8,Neoplasms,2
C64,C67.9,Neoplasms,2
C68.0,C68.8,Neoplasms,2
C69.0,C69.8,Neoplasms,2
C70,C73.9,Neoplasms,2
C75,C75.8,Neoplasms,2
C81,C86.6,Neoplasms,2
C88,C91.0,Neoplasms,2
C91.2,C91.3,Neoplasms,2
C91.6,C91.6,Neoplasms,2
C92,C92.6,Neoplasms,2
C93,C93.1,Neoplasms,2
C93.3,C93.3,Neoplasms,2
C93.8,C93.8,Neoplasms,2
C94,C96.9,Neoplasms,2
D00.1,D00.2,Neoplasms,2
D01.0,D01.3,Neoplasms,2
D02.0,D02.3,Neoplasms,2
D03,D06.9,Neoplasms,2
D07.0,D07.2,Neoplasms,2
D07.4,D07.5,Neoplasms,2
D09.0,D09.0,Neoplasms,2
D09.2,D09.3,Neoplasms,2
D09.8,D09.8,Neoplasms,2
D10.0,D10.7,Neoplasms,2
D11,D12.9,Neoplasms,2
D13.0,D13.7,Neoplasms,2
D14.0,D14.3,Neoplasms,2
D15,D16.9,Neoplasms,2
D22,D24.9,Neoplasms,2
D26.0,D27.9,Neoplasms,2
D28.0,D28.1,Neoplasms,2
D28.7,D28.7,Neoplasms,2
D29.0,D29.8,Neoplasms,2
D30.0,D30.8,Neoplasms,2
D31,D36,Neoplasms,2
D36.1,D36.7,Neoplasms,2
D37.1,D37.5,Neoplasms,2
D38.0,D38.5,Neoplasms,2
D39.1,D39.2,Neoplasms,2
D39.8,D39.8,Neoplasms,2
D40.0,D40.8,Neoplasms,2
D41.0,D41.8,Neoplasms,2
D42,D43.9,Neoplasms,2
D44.0,D44.8,Neoplasms,2
D45,D47.9,Neoplasms,2
D48.0,D48.6,Neoplasms,2
D49.2,D49.4,Neoplasms,2
D49.6,D49.6,Neoplasms,2
K62.0,K62.1,Neoplasms,2
K63.5,K63.5,Neoplasms,2
N60,N60.9,Neoplasms,2
N84.0,N84.1,Neoplasms,2
N87,N87.9,Neoplasms,2
C00,C08.9,Lip and oral cavity cancer,3
D10.0,D10.5,Lip and oral cavity cancer,3
D11,D11.9,Lip and oral cavity cancer,3
C11,C11.9,Nasopharynx cancer,3
D10.6,D10.6,Nasopharynx cancer,3
C09,C10.9,Other pharynx cancer,3
C12,C13.9,Other pharynx cancer,3
D10.7,D10.7,Other pharynx cancer,3
C15,C15.9,Oesophageal cancer,3
D00.1,D00.1,Oesophageal cancer,3
D13.0,D13.0,Oesophageal cancer,3
C16,C16.9,Stomach cancer,3
D00.2,D00.2,Stomach cancer,3
D13.1,D13.1,Stomach cancer,3
D37.1,D37.1,Stomach cancer,3
C18,C21.9,Colon and rectum cancer,3
D01.0,D01.3,Colon and rectum cancer,3
D12,D12.9,Colon and rectum cancer,3
D37.3,D37.5,Colon and rectum cancer,3
C22,C22.8,Liver cancer,3
D13.4,D13.4,Liver cancer,3
,,Liver cancer due to hepatitis B,4
,,Liver cancer due to hepatitis C,4
,,Liver cancer due to alcohol use,4
,,Liver cancer due to NASH,4
C22.2,C22.2,Hepatoblastoma,
,,Liver cancer due to other causes (internal),
C23,C24.9,Gallbladder and biliary tract cancer,3
D13.5,D13.5,Gallbladder and biliary tract cancer,3
C25,C25.9,Pancreatic cancer,3
D13.6,D13.7,Pancreatic cancer,3
C32,C32.9,Larynx cancer,3
D02.0,D02.0,Larynx cancer,3
D14.1,D14.1,Larynx cancer,3
D38.0,D38.0,Larynx cancer,3
C33,C34.9,"Tracheal, bronchus, and lung cancer",3
D02.1,D02.3,"Tracheal, bronchus, and lung cancer",3
D14.2,D14.3,"Tracheal, bronchus, and lung cancer",3
D38.1,D38.1,"Tracheal, bronchus, and lung cancer",3
C43,C43.9,Malignant skin melanoma,3
D03,D03.9,Malignant skin melanoma,3
D22,D23.9,Malignant skin melanoma,3
D48.5,D48.5,Malignant skin melanoma,3
C44,C44.9,Non-melanoma skin cancer,3
D04,D04.9,Non-melanoma skin cancer,3
D49.2,D49.2,Non-melanoma skin cancer,3
C44,C44.9,Non-melanoma skin cancer (squamous-cell carcinoma),4
D04,D04.9,Non-melanoma skin cancer (squamous-cell carcinoma),4
D49.2,D49.2,Non-melanoma skin cancer (squamous-cell carcinoma),4
C49,C49.9,Soft tissue and other extraosseous sarcomas,
C40,C41.9,Malignant neoplasm of bone and articular cartilage,
C50,C50.9,Breast cancer,3
D05,D05.9,Breast cancer,3
D24,D24.9,Breast cancer,3
D48.6,D48.6,Breast cancer,3
D49.3,D49.3,Breast cancer,3
C53,C53.9,Cervical cancer,3
D06,D06.9,Cervical cancer,3
D26.0,D26.0,Cervical cancer,3
C54,C54.9,Uterine cancer,3
D07.0,D07.2,Uterine cancer,3
D26.1,D26.9,Uterine cancer,3
C56,C56.9,Ovarian cancer,3
D27,D27.9,Ovarian cancer,3
D39.1,D39.1,Ovarian cancer,3
C61,C61.9,Prostate cancer,3
D07.5,D07.5,Prostate cancer,3
D29.1,D29.1,Prostate cancer,3
D40.0,D40.0,Prostate cancer,3
C62,C62.9,Testicular cancer,3
D29.2,D29.8,Testicular cancer,3
D40.1,D40.8,Testicular cancer,3
C64,C65.9,Kidney cancer,3
D30.0,D30.1,Kidney cancer,3
D41.0,D41.1,Kidney cancer,3
C67,C67.9,Bladder cancer,3
D09.0,D09.0,Bladder cancer,3
D30.3,D30.3,Bladder cancer,3
D41.4,D41.8,Bladder cancer,3
D49.4,D49.4,Bladder cancer,3
C70,C72.9,Brain and central nervous system cancer,3
C69.0,C69.8,Eye cancer,
C69.2,C69.2,Retinoblastoma,
C69.0,C69.1,Other eye cancers,
C69.3,C69.8,Other eye cancers,
C47,C47.9,Neuroblastoma and other peripheral nervous cell tumors,
C73,C73.9,Thyroid cancer,3
D09.3,D09.3,Thyroid cancer,3
D09.8,D09.8,Thyroid cancer,3
D34,D34.9,Thyroid cancer,3
D44.0,D44.0,Thyroid cancer,3
C45,C45.9,Mesothelioma,3
C81,C81.9,Hodgkin lymphoma,3
C82,C86.6,Non-Hodgkin lymphoma,3
C96,C96.9,Non-Hodgkin lymphoma,3
C83.7,C83.8,Burkitt lymphoma,
C82,C83.6,Other non-Hodgkin lymphoma,
C83.9,C86.6,Other non-Hodgkin lymphoma,
C96,C96.9,Other non-Hodgkin lymphoma,
C88,C90.9,Multiple myeloma,3
C91,C91.0,Leukaemia,3
C91.2,C91.3,Leukaemia,3
C91.6,C91.6,Leukaemia,3
C92,C92.6,Leukaemia,3
C93,C93.1,Leukaemia,3
C93.3,C93.3,Leukaemia,3
C93.8,C93.8,Leukaemia,3
C94,C95.9,Leukaemia,3
C91.0,C91.0,Acute lymphoid leukaemia,
C91.2,C91.3,Acute lymphoid leukaemia,
C91.6,C91.6,Acute lymphoid leukaemia,
,,Chronic lymphoid leukaemia,4
C92.0,C92.0,Acute myeloid leukaemia,4
C92.3,C92.6,Acute myeloid leukaemia,4
C93.0,C93.0,Acute myeloid leukaemia,4
C94.0,C94.0,Acute myeloid leukaemia,4
C94.2,C94.2,Acute myeloid leukaemia,4
C94.4,C94.5,Acute myeloid leukaemia,4
C92.1,C92.2,Chronic myeloid leukaemia,4
C93.1,C93.1,Other leukaemia,4
C93.3,C93.3,Other leukaemia,4
C93.8,C93.8,Other leukaemia,4
C94.1,C94.1,Other leukaemia,4
C94.3,C94.3,Other leukaemia,4
C94.6,C95.9,Other leukaemia,4
C17,C17.9,Other malignant neoplasms (internal),
C30,C31.9,Other malignant neoplasms (internal),
C37,C38.8,Other malignant neoplasms (internal),
C48,C48.9,Other malignant neoplasms (internal),
C4A,C4A,Other malignant neoplasms (internal),
C51,C52.9,Other malignant neoplasms (internal),
C57,C57.8,Other malignant neoplasms (internal),
C60,C60.9,Other malignant neoplasms (internal),
C63,C63.8,Other malignant neoplasms (internal),
C66,C66.9,Other malignant neoplasms (internal),
C68.0,C68.8,Other malignant neoplasms (internal),
C75,C75.8,Other malignant neoplasms (internal),
D07.4,D07.4,Other malignant neoplasms (internal),
D09.2,D09.2,Other malignant neoplasms (internal),
D13.2,D13.3,Other malignant neoplasms (internal),
D14.0,D14.0,Other malignant neoplasms (internal),
D15,D16.9,Other malignant neoplasms (internal),
D28.0,D28.1,Other malignant neoplasms (internal),
D28.7,D28.7,Other malignant neoplasms (internal),
D29.0,D29.0,Other malignant neoplasms (internal),
D30.2,D30.2,Other malignant neoplasms (internal),
D30.4,D30.8,Other malignant neoplasms (internal),
D31,D31.9,Other malignant neoplasms (internal),
D35,D35.2,Other malignant neoplasms (internal),
D35.5,D36,Other malignant neoplasms (internal),
D36.1,D36.7,Other malignant neoplasms (internal),
D37.2,D37.2,Other malignant neoplasms (internal),
D38.2,D38.5,Other malignant neoplasms (internal),
D39.2,D39.2,Other malignant neoplasms (internal),
D39.8,D39.8,Other malignant neoplasms (internal),
D41.2,D41.3,Other malignant neoplasms (internal),
D44.1,D44.8,Other malignant neoplasms (internal),
D48.0,D48.4,Other malignant neoplasms (internal),
D32,D33.9,Other neoplasms,3
D35.3,D35.4,Other neoplasms,3
D42,D43.9,Other neoplasms,3
D45,D47.9,Other neoplasms,3
D49.6,D49.6,Other neoplasms,3
K62.0,K62.1,Other neoplasms,3
K63.5,K63.5,Other neoplasms,3
N60,N60.9,Other neoplasms,3
N84.0,N84.1,Other neoplasms,3
N87,N87.9,Other neoplasms,3
D45,D47.9,"Myelodysplastic, myeloproliferative, and other haematopoietic neoplasms",
B33.2,B33.2,Cardiovascular diseases,2
G45,G46.8,Cardiovascular diseases,2
I01,I01.9,Cardiovascular diseases,2
I02.0,I02.0,Cardiovascular diseases,2
I05,I09.9,Cardiovascular diseases,2
I11,I11.9,Cardiovascular diseases,2
I20,I25.9,Cardiovascular diseases,2
I27.0,I27.0,Cardiovascular diseases,2
I27.2,I27.2,Cardiovascular diseases,2
I28,I28.9,Cardiovascular diseases,2
I30,I31.1,Cardiovascular diseases,2
I31.8,I37.8,Cardiovascular diseases,2
I38,I41.9,Cardiovascular diseases,2
I42.1,I42.8,Cardiovascular diseases,2
I43,I43.9,Cardiovascular diseases,2
I47,I48.9,Cardiovascular diseases,2
I51.0,I51.4,Cardiovascular diseases,2
I60,I63.9,Cardiovascular diseases,2
I65,I66.9,Cardiovascular diseases,2
I67.0,I67.3,Cardiovascular diseases,2
I67.5,I67.6,Cardiovascular diseases,2
I68.0,I68.2,Cardiovascular diseases,2
I69.0,I69.3,Cardiovascular diseases,2
I70.2,I70.8,Cardiovascular diseases,2
I71,I73.9,Cardiovascular diseases,2
I77,I83.9,Cardiovascular diseases,2
I86,I89.0,Cardiovascular diseases,2
I89.9,I89.9,Cardiovascular diseases,2
I98,I98,Cardiovascular diseases,2
K75.1,K75.1,Cardiovascular diseases,2
I01,I01.9,Rheumatic heart disease,3
I02.0,I02.0,Rheumatic heart disease,3
I05,I09.9,Rheumatic heart disease,3
I20,I25.9,Ischaemic heart disease,3
G45,G46.8,Stroke,3
I60,I63.9,Stroke,3
I65,I66.9,Stroke,3
I67.0,I67.3,Stroke,3
I67.5,I67.6,Stroke,3
I68.1,I68.2,Stroke,3
I69.0,I69.3,Stroke,3
G45,G46.8,Ischaemic stroke,4
I63,I63.9,Ischaemic stroke,4
I65,I66.9,Ischaemic stroke,4
I67.2,I67.3,Ischaemic stroke,4
I67.5,I67.6,Ischaemic stroke,4
I69.3,I69.3,Ischaemic stroke,4
I61,I62,Intracerebral haemorrhage,4
I62.1,I62.9,Intracerebral haemorrhage,4
I68.1,I68.2,Intracerebral haemorrhage,4
I69.1,I69.2,Intracerebral haemorrhage,4
I60,I60.9,Subarachnoid hemorrhage,
I62.0,I62.0,Subarachnoid hemorrhage,
I67.0,I67.1,Subarachnoid hemorrhage,
I69.0,I69.0,Subarachnoid hemorrhage,
I11,I11.9,Hypertensive heart disease,3
I34,I37.8,Non-rheumatic valvular heart disease,3
I35,I35.9,Non-rheumatic calcific aortic valvular heart disease,4
I34,I34.9,Non-rheumatic degenerative mitral valvular heart disease,4
I36,I37.8,Other non-rheumatic valvular heart diseases,4
B33.2,B33.2,Cardiomyopathy and myocarditis,3
I40,I41.9,Cardiomyopathy and myocarditis,3
I42.1,I42.8,Cardiomyopathy and myocarditis,3
I43,I43.9,Cardiomyopathy and myocarditis,3
I51.4,I51.4,Cardiomyopathy and myocarditis,3
B33.2,B33.2,Myocarditis,4
I40,I41.9,Myocarditis,4
I51.4,I51.4,Myocarditis,4
I42.6,I42.6,Alcoholic cardiomyopathy,4
I42.1,I42.5,Other cardiomyopathy,4
I42.7,I42.8,Other cardiomyopathy,4
I43,I43.9,Other cardiomyopathy,4
I27.0,I27.0,Pulmonary arterial hypertension,
I27.2,I27.2,Pulmonary arterial hypertension,
I48,I48.9,Atrial fibrillation and flutter,3
I71,I71.9,Aortic aneurysm,3
I70.2,I70.8,Peripheral artery disease,3
I73,I73.9,Peripheral artery disease,3
I33,I33.9,Endocarditis,3
I38,I39.9,Endocarditis,3
I28,I28.9,Other cardiovascular and circulatory diseases (internal),
I30,I31.1,Other cardiovascular and circulatory diseases (internal),
I31.8,I32.8,Other cardiovascular and circulatory diseases (internal),
I47,I47.9,Other cardiovascular and circulatory diseases (internal),
I51.0,I51.3,Other cardiovascular and circulatory diseases (internal),
I68.0,I68.0,Other cardiovascular and circulatory diseases (internal),
I72,I72.9,Other cardiovascular and circulatory diseases (internal),
I77,I83.9,Other cardiovascular and circulatory diseases (internal),
I86,I89.0,Other cardiovascular and circulatory diseases (internal),
I89.9,I89.9,Other cardiovascular and circulatory diseases (internal),
I98,I98,Other cardiovascular and circulatory diseases (internal),
K75.1,K75.1,Other cardiovascular and circulatory diseases (internal),
D86,D86.2,Chronic respiratory diseases,2
D86.9,D86.9,Chronic respiratory diseases,2
G47.3,G47.3,Chronic respiratory diseases,2
J30,J35.9,Chronic respiratory diseases,2
J37,J39.9,Chronic respiratory diseases,2
J41,J46.9,Chronic respiratory diseases,2
J60,J63.8,Chronic respiratory diseases,2
J65,J68.9,Chronic respiratory diseases,2
J70,J70,Chronic respiratory diseases,2
J70.8,J70.9,Chronic respiratory diseases,2
J82,J82,Chronic respiratory diseases,2
J84,J84.9,Chronic respiratory diseases,2
J91,J91,Chronic respiratory diseases,2
J91.8,J92.9,Chronic respiratory diseases,2
J41,J44.9,Chronic obstructive pulmonary disease,3
J60,J63.8,Pneumoconiosis,3
J65,J65.0,Pneumoconiosis,3
J92.0,J92.0,Pneumoconiosis,3
J62,J62.9,Silicosis,4
J61,J61.0,Asbestosis,4
J92.0,J92.0,Asbestosis,4
J60,J60.0,Coal workers pneumoconiosis,4
J63,J63.8,Other pneumoconiosis,4
J65,J65.0,Other pneumoconiosis,4
J45,J46.9,Asthma,3
D86,D86.2,Interstitial lung disease and pulmonary sarcoidosis,3
D86.9,D86.9,Interstitial lung disease and pulmonary sarcoidosis,3
J84,J84.9,Interstitial lung disease and pulmonary sarcoidosis,3
G47.3,G47.3,Other chronic respiratory diseases,3
J30,J35.9,Other chronic respiratory diseases,3
J37,J39.9,Other chronic respiratory diseases,3
J66,J68.9,Other chronic respiratory diseases,3
J70,J70,Other chronic respiratory diseases,3
J70.8,J70.9,Other chronic respiratory diseases,3
J82,J82,Other chronic respiratory diseases,3
J91,J91,Other chronic respiratory diseases,3
J91.8,J92,Other chronic respiratory diseases,3
J92.9,J92.9,Other chronic respiratory diseases,3
B18,B18.9,Digestive diseases,2
I84,I85.9,Digestive diseases,2
I98.2,I98.2,Digestive diseases,2
K20,K20.9,Digestive diseases,2
K22,K22.6,Digestive diseases,2
K22.8,K29.9,Digestive diseases,2
K31,K31.8,Digestive diseases,2
K35,K38.9,Digestive diseases,2
K40,K42.9,Digestive diseases,2
K44,K46.9,Digestive diseases,2
K50,K52,Digestive diseases,2
K52.2,K52.9,Digestive diseases,2
K55,K62,Digestive diseases,2
K62.2,K62.6,Digestive diseases,2
K62.8,K62.9,Digestive diseases,2
K64,K64.9,Digestive diseases,2
K66.8,K66.8,Digestive diseases,2
K67,K67,Digestive diseases,2
K68,K68,Digestive diseases,2
K70,K70.3,Digestive diseases,2
K71.7,K71.7,Digestive diseases,2
K73,K75,Digestive diseases,2
K75.2,K75.2,Digestive diseases,2
K75.4,K76.2,Digestive diseases,2
K76.4,K77,Digestive diseases,2
K77.8,K77.8,Digestive diseases,2
K80,K83.9,Digestive diseases,2
K85,K86.9,Digestive diseases,2
K90,K90.9,Digestive diseases,2
K92.8,K92.8,Digestive diseases,2
K93.8,K93.8,Digestive diseases,2
M09.1,M09.1,Digestive diseases,2
B18,B18.9,Cirrhosis and other chronic liver diseases,3
I85,I85.9,Cirrhosis and other chronic liver diseases,3
I98.2,I98.2,Cirrhosis and other chronic liver diseases,3
K70,K70.3,Cirrhosis and other chronic liver diseases,3
K71.7,K71.7,Cirrhosis and other chronic liver diseases,3
K73,K75,Cirrhosis and other chronic liver diseases,3
K75.2,K75.2,Cirrhosis and other chronic liver diseases,3
K75.4,K76.2,Cirrhosis and other chronic liver diseases,3
K76.4,K76.9,Cirrhosis and other chronic liver diseases,3
K77.8,K77.8,Cirrhosis and other chronic liver diseases,3
,,Cirrhosis and other chronic liver diseases due to hepatitis B,4
,,Cirrhosis and other chronic liver diseases due to hepatitis C,4
,,Cirrhosis and other chronic liver diseases due to alcohol use,4
,,Cirrhosis and other chronic liver diseases due to NAFLD,4
,,Cirrhosis and other chronic liver diseases due to other causes,4
K25,K29.9,Upper digestive system diseases,3
K25,K28.9,Peptic ulcer disease,4
K29,K29.9,Gastritis and duodenitis,4
K35,K37.9,Appendicitis,3
K38.3,K38.9,Appendicitis,3
K56,K56.9,Paralytic ileus and intestinal obstruction,3
K40,K42.9,"Inguinal, femoral, and abdominal hernia",3
