Cause,ICD10,ICD9
Other malignant neoplasms (internal),"C17-C17.9, C30-C31.9, C37-C38.8, C48-C48.9, C4A, C51-C52.9, C57-C57.8, C60-C60.9, C63-C63.8, C66-C66.9, C68.0-C68.8, C75-C75.8, D07.4, D09.2, D13.2-D13.3, D14.0, D15-D16.9, D28.0-D28.1, D28.7, D29.0, D30.2, D30.4-D30.8, D31-D31.9, D35-D35.2, D35.5-D36, D36.1-D36.7, D37.2, D38.2-D38.5, D39.2, D39.8, D41.2-D41.3, D44.1-D44.8, D48.0-D48.4","152-152.9, 158-158.9, 160-160.9, 163-164.9, 183.2-183.8, 184.0-184.4, 184.8, 187.1-187.8, 189.2-189.4, 189.8, 194.1-194.8, 209.0, 209.4, 211.2, 211.8, 212.0, 212.4-212.8, 213-213.9, 221.0-221.8, 222.1, 222.8, 223.2, 223.8, 224-224.9, 227-228.9, 229.0, 229.8, 230.7-230.8, 233.4-233.5, 234.0-234.8, 235.4, 235.8, 236.1, 238.0-238.1, 239.2"
Other neoplasms,"D32-D33.9, D35.3-D35.4, D42-D43.9, D45-D47.9, D49.6, K62.0-K62.1, K63.5, N60-N60.9, N84.0-N84.1, N87-N87.9","225-225.9, 237-237.3, 237.5-237.9, 238.4-238.9, 239.6"
"Myelodysplastic, myeloproliferative, and other haematopoietic neoplasms",D45-D47.9,238.4-238.9
Cardiovascular diseases,"B33.2, G45-G46.8, I01-I01.9, I02.0, I05-I09.9, I11-I11.9, I20-I25.9, I27.0, I27.2, I28-I28.9, I30-I31.1, I31.8-I37.8, I38-I41.9, I42.1-I42.8, I43-I43.9, I47-I48.9, I51.0-I51.4, I60-I63.9, I65-I66.9, I67.0-I67.3, I67.5-I67.6, I68.0-I68.2, I69.0-I69.3, I70.2-I70.8, I71-I73.9, I77-I83.9, I86-I89.0, I89.9, I98, K75.1","036.4, 391-391.9, 392.0, 393-398.9, 402-402.9, 410-414.9, 416.0, 417-417.9, 420-423, 423.1-423.9, 424.0-424.3, 424.8, 425.0-425.3, 425.5, 425.7-425.8, 427.0-427.3, 427.6-427.8, 429.0, 430-435.9, 437.0-437.2, 437.5-437.8, 440.2, 440.4, 441-443.9, 447-454.9, 456, 456.3-457, 457.1, 457.8-457.9, 459, 459.1-459.3"
Rheumatic heart disease,"I01-I01.9, I02.0, I05-I09.9","391-391.9, 392.0, 393-398.9"
Ischaemic heart disease,I20-I25.9,410-414.9
Stroke,"G45-G46.8, I60-I63.9, I65-I66.9, I67.0-I67.3, I67.5-I67.6, I68.1-I68.2, I69.0-I69.3","430-435.9, 437.0-437.2, 437.5-437.8"
Ischaemic stroke,"G45-G46.8, I63-I63.9, I65-I66.9, I67.2-I67.3, I67.5-I67.6, I69.3","433-435.9, 437.0-437.1, 437.5-437.8"
Intracerebral haemorrhage,"I61-I62, I62.1-I62.9, I68.1-I68.2, I69.1-I69.2","431-432.9, 437.2"
Subarachnoid hemorrhage,"I60-I60.9, I62.0, I67.0-I67.1, I69.0",430-430.9
Hypertensive heart disease,I11-I11.9,402-402.9
Non-rheumatic valvular heart disease,I34-I37.8,"424.0-424.3, 424.8"
Non-rheumatic calcific aortic valvular heart disease,I35-I35.9,424.1
Non-rheumatic degenerative mitral valvular heart disease,I34-I34.9,424.0
Other non-rheumatic valvular heart diseases,I36-I37.8,"424.2-424.3, 424.8"
Cardiomyopathy and myocarditis,"B33.2, I40-I41.9, I42.1-I42.8, I43-I43.9, I51.4","422-422.9, 425.0-425.3, 425.5, 425.7-425.8, 429.0"
Myocarditis,"B33.2, I40-I41.9, I51.4",422-422.9
Alcoholic cardiomyopathy,I42.6,425.5
Other cardiomyopathy,"I42.1-I42.5, I42.7-I42.8, I43-I43.9","425.0-425.3, 425.7-425.8, 429.0"
Pulmonary arterial hypertension,"I27.0, I27.2",416.0
Atrial fibrillation and flutter,I48-I48.9,427.3
Aortic aneurysm,I71-I71.9,441-441.9
Peripheral artery disease,"I70.2-I70.8, I73-I73.9","440.2, 440.4, 443.0-443.9"
Endocarditis,"I33-I33.9, I38-I39.9",421-421.9
Other cardiovascular and circulatory diseases (internal),"I28-I28.9, I30-I31.1, I31.8-I32.8, I47-I47.9, I51.0-I51.3, I68.0, I72-I72.9, I77-I83.9, I86-I89.0, I89.9, I98, K75.1","036.4, 417-417.9, 420-420.9, 423, 423.1-423.9, 427.0-427.2, 427.6-427.8, 442-443, 447-454.9, 456, 456.3-457, 457.1, 457.8-457.9, 459, 459.1-459.3"
Chronic respiratory diseases,"D86-D86.2, D86.9, G47.3, J30-J35.9, J37-J39.9, J41-J46.9, J60-J63.8, J65-J68.9, J70, J70.8-J70.9, J82, J84-J84.9, J91, J91.8-J92.9","135-135.9, 327.2-327.8, 470, 470.9-474.9, 476-476.1, 477-479, 491-493.9, 495-504.9, 506-506.9, 508-509, 515, 516-517.8, 518.6, 518.9, 519.1-519.4"
Chronic obstructive pulmonary disease,J41-J44.9,"491-492.9, 496-499"
Pneumoconiosis,"J60-J63.8, J65-J65.0, J92.0",500-504.9
Silicosis,J62-J62.9,"502-502.9, 503.0, 503.9"
Asbestosis,"J61-J61.0, J92.0",501
Coal workers pneumoconiosis,J60-J60.0,"500-500.9, 501.0-501.9"
Other pneumoconiosis,"J63-J63.8, J65-J65.0","503, 503.1, 504-504.9"
Asthma,J45-J46.9,493-493.9
Interstitial lung disease and pulmonary sarcoidosis,"D86-D86.2, D86.9, J84-J84.9","135-135.9, 515, 516-516.9"
Other chronic respiratory diseases,"G47.3, J30-J35.9, J37-J39.9, J66-J68.9, J70, J70.8-J70.9, J82, J91, J91.8-J92, J92.9","327.2-327.8, 470, 470.9-474.9, 476-476.1, 477-479, 495-495.9, 506-506.9, 508-509, 517-517.8, 518.6, 518.9, 519.1-519.4"
Digestive diseases,"B18-B18.9, I84-I85.9, I98.2, K20-K20.9, K22-K22.6, K22.8-K29.9, K31-K31.8, K35-K38.9, K40-K42.9, K44-K46.9, K50-K52, K52.2-K52.9, K55-K62, K62.2-K62.6, K62.8-K62.9, K64-K64.9, K66.8, K67, K68, K70-K70.3, K71.7, K73-K75, K75.2, K75.4-K76.2, K76.4-K77, K77.8, K80-K83.9, K85-K86.9, K90-K90.9, K92.8, K93.8, M09.1","455-455.9, 456.0-456.2, 530-530.0, 530.2-530.6, 531-536.1, 537-537.6, 537.8, 538, 540-543.9, 550-551.1, 551.3-552.1, 552.3-553.6, 555-558.9, 560-560.3, 560.8-560.9, 562-562.1, 564-564.1, 564.5-564.7, 565-566.9, 569.1-569.5, 569.7, 571-571.9, 572.2-573.0, 573.4-577.9, 579-579.2, 579.4-579.9"
Cirrhosis and other chronic liver diseases,"B18-B18.9, I85-I85.9, I98.2, K70-K70.3, K71.7, K73-K75, K75.2, K75.4-K76.2, K76.4-K76.9, K77.8","456.0-456.2, 571-571.9, 572.2-573.0, 573.4-573.9"
Cirrhosis and other chronic liver diseases due to hepatitis B,,
Cirrhosis and other chronic liver diseases due to hepatitis C,,
Cirrhosis and other chronic liver diseases due to alcohol use,,
Cirrhosis and other chronic liver diseases due to NAFLD,,
Cirrhosis and other chronic liver diseases due to other causes,,
Upper digestive system diseases,K25-K29.9,531-535.9
Peptic ulcer disease,K25-K28.9,531-534.9
Gastritis and duodenitis,K29-K29.9,535-535.9
Appendicitis,"K35-K37.9, K38.3-K38.9",540-542.9
Paralytic ileus and intestinal obstruction,K56-K56.9,"560-560.3, 560.8-560.9"
"Inguinal, femoral, and abdominal hernia","K40-K42.9, K44-K46.9","550-551.1, 551.3-552.1, 552.3-553.0, 553.6"
Inflammatory bowel disease,"K50-K52, K52.8-K52.9, M09.1","555-556.9, 558-558.9, 569.5"
Vascular intestinal disorders,K55-K55.9,557-557.9
Gallbladder and biliary diseases,K80-K83.9,574-576.9
Pancreatitis,K85-K86.9,"577-577.9, 579.4"
Other digestive diseases,"I84-I84.9, K20-K20.9, K22-K22.6, K22.8-K24, K31-K31.8, K38-K38.2, K52.2-K52.3, K57-K62, K62.2-K62.6, K62.8-K62.9, K64-K64.9, K66.8, K67, K68, K77, K90-K90.9, K92.8, K93.8","455-455.9, 530-530.0, 530.2-530.6, 536-536.1, 537-537.6, 537.8, 538, 543-543.9, 553.1-553.3, 562-562.1, 564-564.1, 564.5-564.7, 565-566.9, 569.1-569.4, 569.7, 579-579.2, 579.8-579.9"
Neurological disorders,"F00-F02.0, F02.2-F02.3, F02.8-F03.9, G10-G13.8, G20-G20.9, G23-G24, G24.1-G25.0, G25.2-G25.3, G25.5, G25.8-G26.0, G30-G31.1, G31.8-G31.9, G35-G37.9, G40-G41.9, G61-G61.9, G70-G71.1, G71.3-G72, G72.2-G73.7, G90-G90.9, G95-G95.9, M33-M33.9","290-290.9, 294.1-294.9, 330-331.2, 331.5-332.0, 333-337.9, 340-341.9, 345-345.9, 349, 349.2-349.8, 353.8-353.9, 356-356.9, 357.0-357.1, 357.3-357.4, 357.7, 358-359.9, 775.2"
Alzheimer's disease and other dementias,"F00-F02.0, F02.8-F03.9, G30-G31.1, G31.8-G31.9","290-290.9, 294.1-294.9, 331-331.2"
Parkinson's disease,"F02.3, G20-G20.9",332-332.0
Idiopathic epilepsy,G40-G41.9,345-345.9
Multiple sclerosis,G35-G35.9,340-340.9
Motor neuron disease,G12.2-G12.9,"335-335.2, 335.8-335.9"
Other neurological disorders,"F02.2, G10-G12.1, G13-G13.8, G23-G24, G24.1-G25.0, G25.2-G25.3, G25.5, G25.8-G26.0, G36-G37.9, G61-G61.9, G70-G71.1, G71.3-G72, G72.2-G73.7, G90-G90.9, G95-G95.9, M33-M33.9","330-330.9, 331.5-331.9, 333-334.9, 335.3, 336-337.9, 341-341.9, 349, 349.2-349.8, 353.8-353.9, 356-356.9, 357.0-357.1, 357.3-357.4, 357.7, 358-359.9, 775.2"
Mental disorders,"F24, F50.0-F50.5",307.1
Eating disorders,F50.0-F50.5,307.1
Anorexia nervosa,F50.0-F50.1,307.1
Bulimia nervosa,F50.2-F50.5,
Substance use disorders,"E24.4, F10-F16.9, F18-F18.9, G31.2, G62.1, G72.1, P04.3-P04.4, P96.1, Q86.0, R78.0-R78.5, X45-X45.9, X65-X65.9, Y15-Y15.9","291-292.9, 303-303.9, 304.0-304.8, 305.0, 305.2-305.8, 357.5, 760.7, 790.3, E850, E860"
Alcohol use disorders,"E24.4, F10-F10.9, G31.2, G62.1, G72.1, P04.3, Q86.0, R78.0, X45-X45.9, X65-X65.9, Y15-Y15.9","291-291.9, 303-303.9, 305.0, 357.5, 790.3, E860"
Drug use disorders,"F11-F16.9, F18-F18.9, P04.4, P96.1, R78.1-R78.5","292-292.9, 304.0-304.8, 305.2-305.8, 760.7, E850"
Opioid use disorders,"F11-F11.9, P96.1, R78.1","304.0, 305.5"
Cocaine use disorders,"F14-F14.9, R78.2","304.2, 305.6"
Amphetamine use disorders,F15-F15.9,"304.4, 305.7"
Other drug use disorders,"F13-F13.9, F16-F16.9, F18-F18.9, P04.4, R78.3-R78.5","292-292.9, 304.1, 304.5-304.8, 305.3-305.4, 305.8, 760.7"
Diabetes and kidney diseases,"D63.1, E10-E11.9, I12-I13.9, N00-N08.8, N15.0, N18-N18.9, P70.2, Q61-Q62.8","403-404.9, 580-583.9, 585-585.9, 589-589.9, 753-753.3, 775.1"
Diabetes mellitus,"E10-E10.1, E10.3-E11.1, E11.3-E11.9, P70.2",775.1
Diabetes mellitus type 1,"E10-E10.1, E10.3-E10.9, P70.2",775.1
Diabetes mellitus type 2,"E11-E11.1, E11.3-E11.9",
Chronic kidney disease,"D63.1, E10.2, E11.2, I12-I13.9, N02-N08.8, N15.0, N18-N18.9, Q61-Q62.8","403-404.9, 581-583.9, 585-585.9, 589-589.9, 753-753.3"
Chronic kidney disease due to diabetes mellitus type 1,E10.2,
Chronic kidney disease due to diabetes mellitus type 2,E11.2,
Chronic kidney disease due to hypertension,I12-I13.9,403-404.9
Chronic kidney disease due to glomerulonephritis,N03-N06.9,581-583.9
Chronic kidney disease due to other and unspecified causes,"N02-N02.9, N07-N08.8, N15.0, Q61-Q62.8","589-589.9, 753-753.3"
Acute glomerulonephritis,N00-N01.9,580-580.9
Skin and subcutaneous diseases,"A46-A46.0, A66-A67.9, B86, D86.3, I89.1-I89.8, L00-L05.9, L08-L08.9, L10-L14.0, L51-L51.9, L88-L89.9, L97-L98.4, M72.5-M72.6","035-035.9, 102-103.9, 133-133.6, 457.2-457.3, 680-689, 694-695.3, 707-707.9"
Bacterial skin diseases,"A46-A46.0, A66-A67.9, I89.1-I89.8, L00-L05.9, L08-L08.9, L88, L97-L98.4, M72.5-M72.6","035-035.9, 102-103.9, 457.2-457.3, 680-689"
Cellulitis,"L03-L03.9, M72.5-M72.6",681-682.9
Pyoderma,"A46-A46.0, A66-A67.9, I89.1-I89.8, L00-L02.9, L04-L05.9, L08-L08.9, L88, L97-L98.4","035-035.9, 102-103.9, 457.2-457.3, 680-680.9, 683-689"
Decubitus ulcer,L89-L89.9,707-707.9
Other skin and subcutaneous diseases,"D86.3, L10-L14.0, L51-L51.9",694-695.3
Musculoskeletal disorders,"I27.1, I67.7, L93-L93.2, M00-M03.0, M03.2-M03.6, M05-M09.0, M09.2-M09.8, M30-M32.9, M34-M36.8, M40-M43.1, M65-M65.0, M71.0-M71.1, M80-M82.8, M86.3-M86.4, M87-M87.0, M88-M89.0, M89.5, M89.7-M89.9","416.1, 437.4, 446-446.9, 695.4-695.5, 710-711.9, 714-714.3, 714.8-714.9, 730.1, 732-732.9, 733.0-733.1"
Rheumatoid arthritis,"M05-M06.9, M08.0-M08.8","714-714.3, 714.8-714.9"
Other musculoskeletal disorders,"I27.1, I67.7, L93-L93.2, M00-M03.0, M03.2-M03.6, M07-M08, M08.9-M09.0, M09.2-M09.8, M30-M32.9, M34-M36.8, M40-M43.1, M65-M65.0, M71.0-M71.1, M80-M82.8, M86.3-M86.4, M87-M87.0, M88-M89.0, M89.5, M89.7-M89.9","416.1, 437.4, 446-446.9, 695.4-695.5, 710-711.9, 730.1, 732-732.9, 733.0-733.1"
Other non-communicable diseases,"D25-D26, D28.2, D52.1, D55-D58.9, D59.0-D59.3, D59.5-D59.6, D60-D61.9, D64.0, D66-D67, D68.0-D69.8, D70-D70.2, D70.4-D75.8, D76-D78.8, D86.8, D89-D89.2, E03-E07.1, E09-E09.9, E15.0, E16.0-E16.9, E20-E24.3, E24.8-E34, E34.1-E34.8, E36-E36.8, E65-E68, E70-E85.2, E88-E89.9, G21.0-G21.1, G24.0, G25.1, G25.4, G25.6-G25.7, G71.2, G72.0, G93.7, G97-G97.9, I95.2-I95.3, I97-I97.9, I98.9, J70.0-J70.5, J95-J95.9, K43-K43.9, K52.0, K62.7, K91-K91.9, K94-K95.8, M87.1, N10-N12.9, N13.6, N14-N15, N15.1-N16.8, N20-N23.0, N25-N28.1, N29-N30.3, N30.8-N32.0, N32.3-N32.4, N34-N34.3, N36-N36.9, N39-N39.2, N41-N41.9, N44-N44.0, N45-N45.9, N49-N49.9, N65-N65.1, N72-N72.0, N75-N77.8, N80-N81.9, N83-N83.9, N99-N99.9, P96.0, P96.2, P96.5, Q00-Q07.9, Q10.4-Q18.9, Q20-Q28.9, Q30-Q36, Q37-Q45.9, Q50-Q60.6, Q63-Q86, Q86.1-Q87.8, Q89-Q89.8, Q90-Q93.9, Q95-Q99.8, R50.2, R95-R95.9","218-219, 219.1-219.9, 236.0, 240-243.9, 244.0-244.1, 244.3-244.8, 245-246.9, 251-259.1, 259.3-259.9, 270-273.9, 275-276, 277-277.2, 277.4-277.9, 278.0-278.8, 282-284.9, 286-286.5, 286.7-289.0, 289.4-289.7, 357.6, 518.7, 519.0, 536.4, 539-539.9, 551.2, 552.2, 564.2-564.4, 569.6, 579.3, 588-588.9, 590-590.9, 592-593.8, 594-599.6, 599.8, 601-602.9, 604-604.9, 608.2, 617-618.9, 620-620.9, 621.4-621.9, 622.3-622.6, 629-629.8, 740-749.0, 749.2-752.9, 753.4-758.9, 759.0-759.8, 775.3, 779.4-779.5, 788.0, 798-798.0"
Congenital birth defects,"G71.2, P96.0, Q00-Q07.9, Q10.4-Q18.9, Q20-Q28.9, Q30-Q36, Q37-Q45.9, Q50-Q60.6, Q63-Q86, Q86.1-Q87.8, Q89-Q89.8, Q90-Q93.9, Q95-Q99.8","740-749.0, 749.2-752.9, 753.4-758.9, 759.0-759.8"
Neural tube defects,"Q00-Q01.9, Q05-Q05.9","740-741.9, 742.0"
Congenital heart anomalies,Q20-Q28.9,745-747.9
Orofacial clefts,"Q35-Q36, Q37-Q37.9","749-749.0, 749.2-749.9"
Down syndrome,Q90-Q90.9,758.0
Other chromosomal abnormalities,"Q87-Q87.8, Q91-Q93.9, Q95-Q95.9, Q97-Q97.9, Q99-Q99.8","758, 758.1-758.6, 758.8-758.9"
Congenital musculoskeletal and limb anomalies,"Q65-Q79, Q79.6-Q79.9","742.5, 754-756.5, 756.8-756.9"
Urogenital congenital anomalies,"P96.0, Q50-Q60.6, Q63-Q64.9","752-752.9, 753.4-753.9"
Digestive congenital anomalies,"Q38-Q45.9, Q79.0-Q79.5","750-751.9, 756.6-756.7"
Other congenital birth defects,"G71.2, Q02-Q04.9, Q06-Q07.9, Q10.4-Q18.9, Q30-Q34.9, Q80-Q86, Q86.1-Q86.8, Q89-Q89.8","742, 742.1-742.4, 742.8-744.9, 748-748.9, 757-757.9, 759.0-759.8"
Urinary diseases and male infertility,"N10-N12.9, N13.6, N15, N15.1-N16.8, N20-N23.0, N25-N28.1, N29-N30.3, N30.8-N32.0, N32.3-N32.4, N34-N34.3, N36-N36.9, N39-N39.2, N41-N41.9, N44-N44.0, N45-N45.9, N49-N49.9","588-588.9, 590-590.9, 592-593.8, 594-598.1, 598.8-599.6, 599.8, 601-602.9, 604-604.9, 608.2, 788.0"
Urinary tract infection and interstitial nephritis,"N10-N12.9, N13.6, N15, N15.1-N16.8, N30-N30.3, N30.8-N30.9, N34-N34.3, N39.0-N39.2","590-590.9, 595-595.9, 597-597.9, 599.0"
Urolithiasis,N20-N23.0,"592-592.9, 594-594.9, 788.0"
Other urinary diseases,"N25-N28.1, N29-N29.8, N31-N32.0, N32.3-N32.4, N36-N36.9, N39, N41-N41.9, N44-N44.0, N45-N45.9, N49-N49.9","588-588.9, 593-593.8, 596-596.9, 598-598.1, 598.8-599, 599.1-599.6, 599.8, 601-602.9, 604-604.9, 608.2"
Gynaecological diseases,"D25-D26, D28.2, E28.2, N72-N72.0, N75-N77.8, N80-N81.9, N83-N83.9","218-219, 219.1-219.9, 236.0, 256.4, 617-618.9, 620-620.9, 621.4-621.9, 622.3-622.6, 629-629.8"
Uterine fibroids,"D25-D26, D28.2","218-219, 219.1-219.9, 236.0"
Endometriosis,N80-N80.9,617-617.9
Genital prolapse,N81-N81.9,618-618.9
Other gynaecological diseases,"N72-N72.0, N75-N77.8, N83-N83.9","620-620.9, 621.4-621.9, 622.3-622.6, 629-629.8"
Haemoglobinopathies and haemolytic anaemias,"D55-D58.9, D59.1, D59.3, D59.5, D60-D61.9, D64.0",282-284.9
Thalassaemias,D56-D56.9,282.4-282.5
Sickle cell disorders,D57-D57.8,282.6
G6PD deficiency,D55-D55.2,282.2-282.3
Other haemoglobinopathies and haemolytic anaemias,"D55.3-D55.9, D58-D58.9, D59.1, D59.3, D59.5, D60-D61.9, D64.0","282-282.1, 282.7-284.9"
"Endocrine, metabolic, blood, and immune disorders","D52.1, D59.0, D59.2, D59.6, D66-D67, D68.0-D69.8, D70-D70.2, D70.4-D75.8, D76-D78.8, D86.8, D89-D89.2, E03-E07.1, E09-E09.9, E15.0, E16.0-E16.9, E20-E24.3, E24.8-E28.1, E28.3-E34, E34.1-E34.8, E36-E36.8, E65-E68, E70-E85.2, E88-E89.9, G21.0-G21.1, G24.0, G25.1, G25.4, G25.6-G25.7, G72.0, G93.7, G97-G97.9, I95.2-I95.3, I97-I97.9, I98.9, J70.0-J70.5, J95-J95.9, K43-K43.9, K52.0, K62.7, K91-K91.9, K94-K95.8, M87.1, N14-N14.4, N65-N65.1, N99-N99.9, P96.2, P96.5, R50.2","240-243.9, 244.0-244.1, 244.3-244.8, 245-246.9, 251-256.3, 256.8-259.1, 259.3-259.9, 270-273.9, 275-276, 277-277.2, 277.4-277.9, 278.0-278.8, 286-286.5, 286.7-289.0, 289.4-289.7, 357.6, 518.7, 519.0, 536.4, 539-539.9, 551.2, 552.2, 564.2-564.4, 569.6, 579.3, 598.2, 775.3, 779.4-779.5"
Sudden infant death syndrome,R95-R95.9,798-798.0
Injuries,"L55-L55.9, L56.3, L56.8-L56.9, L58-L58.9, N30.4, U00-U03, V00-V86.9, V87.2-V87.3, V88.2-V88.3, V90-V98.8, W00-W46.2, W49-W62.9, W64-W70.9, W73-W75.9, W77-W81.9, W83-W94.9, W97.9, W99-X06.9, X08-X39.9, X47-X48.9, X50-X54.9, X57-X58.9, X60-X64.9, X66-X83.9, X85-Y08.9, Y35-Y84.9, Y87.0-Y87.1, Y88-Y88.3, Y89.0-Y89.1","349.0-349.1, 457.0, E800-E807, E830-E838, E840-E849, E856-E857, E861-E865, E867-E869, E870-E876, E878-E879, E880-E886, E888-E928, E930-E979, E990-E999"
Transport injuries,"V00-V86.9, V87.2-V87.3, V88.2-V88.3, V90-V98.8","E800-E807, E830-E838, E840-E849"
Road injuries,"V01-V04.9, V06-V80.9, V82-V82.9, V87.2-V87.3",
Pedestrian road injuries,"V01-V04.9, V06-V09.9",
Cyclist road injuries,V10-V19.9,
Motorcyclist road injuries,V20-V29.9,
Motor vehicle road injuries,"V30-V79.9, V87.2-V87.3",
Other road injuries,"V80-V80.9, V82-V82.9",
Other transport injuries,"V00-V00.8, V05-V05.9, V81-V81.9, V83-V86.9, V88.2-V88.3, V90-V98.8","E800-E807, E830-E838, E840-E849"
Unintentional injuries,"L55-L55.9, L56.3, L56.8-L56.9, L58-L58.9, N30.4, W00-W46.2, W49-W62.9, W64-W70.9, W73-W75.9, W77-W81.9, W83-W94.9, W97.9, W99-X06.9, X08-X39.9, X47-X48.9, X50-X54.9, X57-X58.9, Y40-Y84.9, Y88-Y88.3","349.0-349.1, 457.0, E856-E857, E861-E865, E867-E869, E870-E876, E878-E879, E880-E886, E888-E928, E930-E949"
Falls,W00-W19.9,"E880-E886, E888"
Drowning,"W65-W70.9, W73-W74.9",E910
"Fire, heat, and hot substances","X00-X06.9, X08-X19.9","E890-E899, E924"
Poisonings,X47-X48.9,"E856-E857, E861-E865, E867-E869"
Poisoning by carbon monoxide,X47-X47.9,"E862, E868-E869"
Poisoning by other means,X48-X48.9,"E856-E857, E861, E863-E865, E867"
Exposure to mechanical forces,"W20-W38.9, W40-W43.9, W45.0-W45.2, W46-W46.2, W49-W52",E916-E922
Unintentional firearm injuries,W32-W34.9,E922
Other exposure to mechanical forces,"W20-W31.9, W35-W38.9, W40-W43.9, W45.0-W45.2, W46-W46.2, W49-W52",E916-E921
Adverse effects of medical treatment,"N30.4, Y40-Y84.9, Y88-Y88.3","349.0-349.1, 457.0, E870-E876, E878-E879, E930-E949"
Animal contact,"W52.0-W62.9, W64-W64.9, X20-X29.9",E905-E906
Venomous animal contact,X20-X29.9,E905
Non-venomous animal contact,"W52.0-W62.9, W64-W64.9",E906
Foreign body,"W44-W45, W45.3-W45.9, W75-W75.9, W78-W80.9, W83-W84.9",E911-E915
Pulmonary aspiration and foreign body in airway,"W75-W75.9, W78-W80.9, W83-W84.9",E911-E913
Foreign body in other body part,"W44-W45, W45.3-W45.9",E914-E915
Environmental heat and cold exposure,"L55-L55.9, L56.3, L56.8-L56.9, L58-L58.9, W88-W94.9, W97.9, W99-W99.9, X30-X32.9, X39-X39.9","E900-E902, E926"
Exposure to forces of nature,X33-X38.9,E907-E909
Still Born,P95-P95.9,768.0-768.1
Other unintentional injuries,"W39-W39.9, W77-W77.9, W81-W81.9, W85-W87.9, X50-X54.9, X57-X58.9","E903-E904, E923, E925, E927-E928"
Self-harm and interpersonal violence,"U00-U03, X60-X64.9, X66-X83.9, X85-Y08.9, Y35-Y38.9, Y87.0-Y87.1, Y89.0-Y89.1","E950-E979, E990-E999"
Self-harm,"X60-X64.9, X66-X83.9, Y87.0",E950-E959
Self-harm by firearm,X72-X74.9,E955
Self-harm by other specified means,"X60-X64.9, X66-X71.9, X75-X83.9, Y87.0","E950-E954, E956-E959"
Interpersonal violence,"X85-Y08.9, Y87.1",E960-E969
Physical violence by firearm,X93-X95.9,E965
Physical violence by sharp object,X99-X99.9,E966
Physical violence by other means,"X85-X92.9, X96-X98.9, Y00-Y04.9, Y06-Y08.9, Y87.1","E961-E964, E967-E969"
Conflict and terrorism,"U00-U03, Y36-Y38.9, Y89.1","E979, E990-E999"
Police conflict and executions,"Y35-Y35.9, Y89.0",E970-E978
